userId	geneSymbol	geneName	entrezgene	gLink
IGHV3-69-1	IGHV3-69-1	immunoglobulin heavy variable 3-69-1 (pseudogene)	28402	https://www.ncbi.nlm.nih.gov/gene/?term=28402
TRAV27	TRAV27	T cell receptor alpha variable 27	28655	https://www.ncbi.nlm.nih.gov/gene/?term=28655
HLA-T	HLA-T	major histocompatibility complex, class I, T (pseudogene)	352964	https://www.ncbi.nlm.nih.gov/gene/?term=352964
IGHV3-53	IGHV3-53	immunoglobulin heavy variable 3-53	28420	https://www.ncbi.nlm.nih.gov/gene/?term=28420
IGHV3-23	IGHV3-23	immunoglobulin heavy variable 3-23	28442	https://www.ncbi.nlm.nih.gov/gene/?term=28442
IGHV4-59	IGHV4-59	immunoglobulin heavy variable 4-59	28392	https://www.ncbi.nlm.nih.gov/gene/?term=28392
IGHV2-5	IGHV2-5	immunoglobulin heavy variable 2-5	28457	https://www.ncbi.nlm.nih.gov/gene/?term=28457
IGLV2-23	IGLV2-23	immunoglobulin lambda variable 2-23	28813	https://www.ncbi.nlm.nih.gov/gene/?term=28813
TRAJ32	TRAJ32	T cell receptor alpha joining 32	28723	https://www.ncbi.nlm.nih.gov/gene/?term=28723
IGHV7-81	IGHV7-81	immunoglobulin heavy variable 7-81 (non-functional)	28378	https://www.ncbi.nlm.nih.gov/gene/?term=28378
KIR2DL1	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	3802	https://www.ncbi.nlm.nih.gov/gene/?term=3802
TRBJ1-6	TRBJ1-6	T cell receptor beta joining 1-6	28630	https://www.ncbi.nlm.nih.gov/gene/?term=28630
CYP2C9	CYP2C9	cytochrome P450 family 2 subfamily C member 9	1559	https://www.ncbi.nlm.nih.gov/gene/?term=1559
IGLV3-21	IGLV3-21	immunoglobulin lambda variable 3-21	28796	https://www.ncbi.nlm.nih.gov/gene/?term=28796
KIR2DL3	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	3804	https://www.ncbi.nlm.nih.gov/gene/?term=3804
IGLV2-18	IGLV2-18	immunoglobulin lambda variable 2-18	28814	https://www.ncbi.nlm.nih.gov/gene/?term=28814
CYP3A5	CYP3A5	cytochrome P450 family 3 subfamily A member 5	1577	https://www.ncbi.nlm.nih.gov/gene/?term=1577
SLCO1B1	SLCO1B1	solute carrier organic anion transporter family member 1B1	10599	https://www.ncbi.nlm.nih.gov/gene/?term=10599
TRBV16	TRBV16	T cell receptor beta variable 16	28571	https://www.ncbi.nlm.nih.gov/gene/?term=28571
IGLV4-60	IGLV4-60	immunoglobulin lambda variable 4-60	28785	https://www.ncbi.nlm.nih.gov/gene/?term=28785
IGHV3-33	IGHV3-33	immunoglobulin heavy variable 3-33	28434	https://www.ncbi.nlm.nih.gov/gene/?term=28434
IGLV1-44	IGLV1-44	immunoglobulin lambda variable 1-44	28823	https://www.ncbi.nlm.nih.gov/gene/?term=28823
IGLV6-57	IGLV6-57	immunoglobulin lambda variable 6-57	28778	https://www.ncbi.nlm.nih.gov/gene/?term=28778
IGLV2-5	IGLV2-5	immunoglobulin lambda variable 2-5 (pseudogene)	28818	https://www.ncbi.nlm.nih.gov/gene/?term=28818
TRBV7-2	TRBV7-2	T cell receptor beta variable 7-2	28596	https://www.ncbi.nlm.nih.gov/gene/?term=28596
IGHV1-3	IGHV1-3	immunoglobulin heavy variable 1-3	28473	https://www.ncbi.nlm.nih.gov/gene/?term=28473
CYP4F2	CYP4F2	cytochrome P450 family 4 subfamily F member 2	8529	https://www.ncbi.nlm.nih.gov/gene/?term=8529
IGHV3-29	IGHV3-29	immunoglobulin heavy variable 3-29 (pseudogene)	28440	https://www.ncbi.nlm.nih.gov/gene/?term=28440
IGHV1-58	IGHV1-58	immunoglobulin heavy variable 1-58	28464	https://www.ncbi.nlm.nih.gov/gene/?term=28464
CYP2B6	CYP2B6	cytochrome P450 family 2 subfamily B member 6	1555	https://www.ncbi.nlm.nih.gov/gene/?term=1555
IGHV1-69	IGHV1-69	immunoglobulin heavy variable 1-69	28461	https://www.ncbi.nlm.nih.gov/gene/?term=28461
IGHV7-4-1	IGHV7-4-1	immunoglobulin heavy variable 7-4-1	57289	https://www.ncbi.nlm.nih.gov/gene/?term=57289
HLA-H	HLA-H	major histocompatibility complex, class I, H (pseudogene)	3136	https://www.ncbi.nlm.nih.gov/gene/?term=3136
TRBJ2-7	TRBJ2-7	T cell receptor beta joining 2-7	28622	https://www.ncbi.nlm.nih.gov/gene/?term=28622
IGHJ6	IGHJ6	immunoglobulin heavy joining 6	28475	https://www.ncbi.nlm.nih.gov/gene/?term=28475
HLA-DPA1	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	3113	https://www.ncbi.nlm.nih.gov/gene/?term=3113
IGHV3-13	IGHV3-13	immunoglobulin heavy variable 3-13	28449	https://www.ncbi.nlm.nih.gov/gene/?term=28449
IGHV3-25	IGHV3-25	immunoglobulin heavy variable 3-25 (pseudogene)	28441	https://www.ncbi.nlm.nih.gov/gene/?term=28441
TRBV21-1	TRBV21-1	T cell receptor beta variable 21-1 (pseudogene)	28566	https://www.ncbi.nlm.nih.gov/gene/?term=28566
TRAJ16	TRAJ16	T cell receptor alpha joining 16	28739	https://www.ncbi.nlm.nih.gov/gene/?term=28739
TAP2	TAP2	transporter 2, ATP binding cassette subfamily B member	6891	https://www.ncbi.nlm.nih.gov/gene/?term=6891
TRBV19	TRBV19	T cell receptor beta variable 19	28568	https://www.ncbi.nlm.nih.gov/gene/?term=28568
IGHV2-26	IGHV2-26	immunoglobulin heavy variable 2-26	28455	https://www.ncbi.nlm.nih.gov/gene/?term=28455
TRBV20-1	TRBV20-1	T cell receptor beta variable 20-1	28567	https://www.ncbi.nlm.nih.gov/gene/?term=28567
IGLV1-41	IGLV1-41	immunoglobulin lambda variable 1-41 (pseudogene)	28824	https://www.ncbi.nlm.nih.gov/gene/?term=28824
CYP2A13	CYP2A13	cytochrome P450 family 2 subfamily A member 13	1553	https://www.ncbi.nlm.nih.gov/gene/?term=1553
IGLV3-22	IGLV3-22	immunoglobulin lambda variable 3-22	28795	https://www.ncbi.nlm.nih.gov/gene/?term=28795
TRBV7-3	TRBV7-3	T cell receptor beta variable 7-3	28595	https://www.ncbi.nlm.nih.gov/gene/?term=28595
